NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
174,서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,202308,29,"198,000",112,17,-,-,2005,선릉로69길 20,-,중개거래,서울 강남구,23.11.29
175,서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,202308,19,"195,000",102,12,-,-,2005,선릉로69길 20,-,중개거래,서울 강남구,23.11.27
176,서울특별시 강남구 역삼동,757,757,0,역삼래미안,59.4,202308,12,"184,000",110,8,-,-,2005,선릉로69길 19,-,중개거래,서울 강남구 서울 강동구,23.11.29
177,서울특별시 강남구 역삼동,757,757,0,역삼래미안,59.4,202308,3,"190,000",101,13,-,-,2005,선릉로69길 19,-,중개거래,서울 강남구,23.09.11
178,서울특별시 강남구 역삼동,757,757,0,역삼래미안,59.53,202307,29,"189,000",103,17,-,-,2005,선릉로69길 19,-,중개거래,서울 강남구,23.09.26
179,서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,84.991,202307,23,"260,000",109,15,-,-,2005,선릉로69길 20,-,중개거래,서울 강남구,23.10.13
180,서울특별시 강남구 역삼동,757,757,0,역삼래미안,59.4,202307,22,"185,000",105,9,-,-,2005,선릉로69길 19,-,중개거래,경기 성남분당구 서울 강남구,23.10.12
181,서울특별시 강남구 역삼동,755-4,755,4,e-편한세상,59.606,202307,15,"184,000",102,4,-,-,2005,선릉로69길 20,-,중개거래,서울 강남구 서울 마포구,23.11.30
182,서울특별시 강남구 역삼동,757,757,0,역삼래미안,80.87,202307,3,"238,000",107,8,-,-,2005,선릉로69길 19,-,중개거래,서울 강남구,23.08.30
183,서울특별시 강남구 역삼동,757,757,0,역삼래미안,59.4,202306,29,"187,000",101,20,-,-,2005,선릉로69길 19,-,중개거래,서울 강남구,23.10.18
